customerID,gender,senior,dependents,tenure,phone_lines,service,insurance,streaming,contract,billing,payment,charge_month,charge_total,churn
1891-QRQSA,1,1,2,3,2,3,3,2,3,2,3,4,7099,0
8028-PNXHQ,1,0,2,3,2,1,0,0,3,2,3,1,1424.6,0
5630-AHZIL,2,0,1,1,1,2,2,1,1,2,3,3,177.4,0
2673-CXQEU,2,1,0,3,2,3,3,2,2,1,2,4,6139.5,0
6416-JNVRK,2,0,0,2,1,2,0,1,2,1,3,2,2688.85,0
5590-ZSKRV,2,0,2,1,1,2,2,0,1,1,1,2,482.25,0
0191-ZHSKZ,1,1,0,2,1,2,2,2,1,2,2,3,2111.3,0
3887-PBQAO,2,0,2,2,2,1,0,0,2,2,3,1,1216.6,0
5919-TMRGD,2,0,1,1,1,3,0,1,1,2,2,3,79.35,1
8108-UXRQN,2,0,2,1,0,2,1,2,1,1,2,2,565.35,0
9191-MYQKX,2,0,1,1,1,3,1,0,1,2,3,3,496.9,1
9919-YLNNG,2,0,0,2,1,3,3,2,1,2,3,4,4327.5,0
0318-ZOPWS,2,0,1,3,1,1,0,0,3,2,3,1,973.35,0
4445-ZJNMU,1,0,0,1,2,3,1,2,1,2,3,4,918.75,0
4808-YNLEU,2,0,1,2,1,2,1,1,2,2,3,3,2215.45,0
1862-QRWPE,2,0,2,3,1,1,0,0,3,1,3,1,1057,0
2796-NNUFI,2,0,2,2,1,1,0,0,3,2,1,1,927.1,0
3016-KSVCP,1,0,1,2,0,2,0,1,1,1,1,2,1009.25,0
4767-HZZHQ,1,0,2,2,1,3,2,0,1,1,3,3,2570.2,0
2424-WVHPL,1,1,0,1,1,3,1,0,1,1,2,3,74.7,0
7233-PAHHL,1,0,2,3,2,2,3,2,3,2,1,3,5714.25,0
6067-NGCEU,2,0,0,3,2,3,3,2,1,2,3,4,7107,0
9848-JQJTX,1,0,0,3,2,3,2,2,3,2,3,4,7459.05,0
8637-XJIVR,2,0,0,1,2,3,1,0,1,2,2,3,927.35,1
9803-FTJCG,1,0,2,3,2,2,3,0,2,2,3,3,4748.7,0
0278-YXOOG,1,0,0,1,1,1,0,0,1,1,1,1,113.85,1
3212-KXOCR,1,0,0,3,1,1,0,0,3,1,3,1,1107.2,0
4598-XLKNJ,2,1,1,2,1,3,2,2,1,2,2,4,2514.5,1
6380-ARCEH,1,0,0,1,1,1,0,0,1,1,1,1,20.2,0
3679-XASPY,2,0,2,1,1,1,0,0,1,1,2,1,19.45,0
7123-WQUHX,1,0,0,2,2,3,2,1,2,1,3,4,3605.6,0
5386-THSLQ,2,1,1,3,0,2,2,1,2,1,3,2,3027.25,0
3192-NQECA,1,0,1,3,2,3,3,2,3,2,3,4,7611.85,1
6180-YBIQI,1,0,0,1,0,2,0,0,1,1,1,1,100.2,0
6728-DKUCO,2,0,2,3,2,3,2,2,2,2,2,4,7303.05,0
9750-BOOHV,2,0,0,2,0,2,1,0,2,1,1,2,927.65,0
8597-CWYHH,1,0,0,2,2,3,0,2,2,1,1,4,3921.3,0
2848-YXSMW,1,0,2,3,1,1,0,0,3,1,3,1,1363.25,0
0486-HECZI,1,0,1,3,2,3,2,1,1,2,2,4,5238.9,1
4549-ZDQYY,2,0,0,3,1,2,3,0,2,1,3,2,3042.25,0
5712-AHQNN,2,0,0,2,1,3,2,1,1,2,2,4,3954.1,0
4846-WHAFZ,2,1,1,2,2,3,0,0,1,2,2,3,2868.15,1
5256-SKJGO,2,0,2,3,0,2,2,2,3,2,2,2,3423.5,0
3071-VBYPO,1,0,2,1,1,3,2,1,1,1,2,3,248.4,0
9560-BBZXK,2,0,0,2,0,2,1,0,3,1,3,2,1126.35,0
5299-RULOA,2,0,2,1,2,3,1,2,1,2,2,4,1064.65,1
8402-OOOHJ,2,0,0,2,1,1,0,0,3,1,1,1,835.15,0
9445-ZUEQE,1,0,2,2,2,3,2,0,1,2,3,3,2151.6,0
1091-SOZGA,2,0,2,3,2,3,1,2,2,2,3,4,5515.45,0
2928-HLDBA,2,0,0,1,1,1,0,0,1,1,1,1,112.75,0
0404-SWRVG,1,0,0,1,2,3,0,0,1,2,2,3,229.55,1
6497-TILVL,2,0,2,1,1,2,1,0,1,1,1,2,350.35,0
7219-TLZHO,2,0,2,1,1,1,0,0,1,1,1,1,62.9,0
4622-YNKIJ,1,0,0,2,1,3,2,1,3,2,2,3,3027.65,0
4412-YLTKF,2,1,0,2,2,3,1,0,1,2,2,3,2135.5,1
6734-PSBAW,1,0,1,3,2,1,0,0,3,2,3,1,1723.95,0
3930-ZGWVE,1,0,0,1,1,1,0,0,1,1,1,1,19.75,0
2639-UGMAZ,1,1,0,3,0,2,2,2,2,2,2,2,3985.35,0
2876-GZYZC,2,0,0,1,2,3,0,1,1,2,2,3,1215.65,0
6207-WIOLX,2,0,2,2,0,2,3,2,1,2,3,2,1502.65,1
8587-XYZSF,1,0,0,3,1,2,1,0,3,1,3,2,3260.1,0
3091-FYHKI,1,0,0,1,0,2,0,1,1,2,2,2,35.45,1
2372-HWUHI,1,0,0,1,1,2,0,0,1,1,2,2,81.25,1
7799-LGRDP,2,0,0,2,2,1,0,0,3,2,3,1,1188.2,0
7850-VWJUU,2,0,0,1,1,3,1,0,1,2,3,3,1778.5,0
3774-VBNXY,2,0,2,3,1,1,0,0,3,1,1,1,1277.75,0
6217-KDYWC,1,0,1,3,1,1,0,0,3,2,1,1,1170.55,0
0390-DCFDQ,2,1,1,1,1,3,0,0,1,2,1,3,70.45,1
3146-MSEGF,2,1,2,3,2,2,4,2,3,2,3,3,6425.65,0
4080-OGPJL,2,0,0,1,2,2,2,1,1,1,2,3,563.65,1
1095-WGNGG,2,0,1,3,2,3,1,2,3,2,3,4,5971.25,0
2636-SJDOU,1,0,0,3,2,3,2,0,2,2,3,3,5289.05,0
1131-QQZEB,1,1,1,3,2,1,0,0,3,1,3,1,1756.2,0
5716-EZXZN,2,0,2,3,2,3,3,1,3,2,3,4,6416.7,0
6837-BJYDQ,1,0,0,1,1,1,0,0,2,1,1,1,61.35,0
2135-RXIHG,1,0,0,1,1,2,0,0,1,2,2,2,45.65,1
6440-DKQGE,1,0,1,2,1,2,2,1,2,1,3,3,1929.95,0
3466-BYAVD,1,0,2,1,1,2,3,1,1,2,1,3,1071.4,0
3780-YVMFA,2,0,2,1,1,2,1,2,1,2,2,3,564.35,0
3874-EQOEP,1,0,0,1,2,3,0,2,1,1,1,4,655.5,1
1679-JRFBR,2,0,2,3,2,3,3,2,2,2,3,4,7930.55,0
9073-ZZIAY,1,0,2,3,1,2,4,2,3,1,2,3,5215.25,0
3077-RSNTJ,2,0,2,1,1,1,0,0,1,1,1,1,113.5,0
6551-GNYDG,2,0,2,1,1,3,0,1,1,2,3,3,1152.8,0
9167-APMXZ,2,0,0,1,2,3,0,1,1,2,3,3,1821.95,0
2749-CTKAJ,1,0,2,1,1,1,0,0,2,1,1,1,419.9,0
6371-NZYEG,1,0,2,1,1,2,2,1,3,1,1,3,1024,0
7554-NEWDD,1,0,0,1,2,1,0,0,3,1,3,1,251.6,0
8992-VONJD,2,0,1,1,1,2,2,0,1,2,2,2,764.55,0
0867-MKZVY,2,0,1,1,2,3,1,0,1,1,2,3,1592.35,1
4482-EWFMI,2,0,0,1,1,3,0,0,1,2,2,3,135.2,0
4648-YPBTM,1,0,0,3,2,2,3,1,3,2,3,3,3958.25,0
2907-ILJBN,2,0,2,1,1,1,0,0,2,1,1,1,233.9,0
6345-FZOQH,1,0,1,3,1,1,0,0,3,1,1,1,1363.45,0
3376-BMGFE,2,0,0,1,1,3,0,0,1,2,3,3,273,1
5997-OPVFA,1,0,1,3,2,2,4,2,3,2,3,3,6254.45,0
3445-HXXGF,1,1,1,3,0,2,2,1,1,2,2,2,2651.2,1
1159-WFSGR,2,0,2,1,1,1,0,0,1,1,2,1,321.4,0
7654-YWJUF,1,0,1,2,1,3,3,0,2,2,3,3,3539.25,0
1875-QIVME,2,0,1,1,2,3,2,2,1,2,2,4,242.8,1
6727-IOTLZ,1,0,1,1,1,2,3,2,3,1,1,3,1181.75,0
0691-JVSYA,2,0,1,3,1,3,1,2,2,2,3,4,5000.2,1
5918-VUKWP,2,0,0,2,1,1,0,0,2,1,3,1,654.55,0
1744-JHKYS,2,0,1,2,2,1,0,0,1,1,2,1,780.2,0
2656-FMOKZ,2,1,0,1,2,3,0,0,1,2,1,3,1145.7,1
2070-FNEXE,2,1,0,1,1,3,1,0,1,1,3,3,503.6,1
5947-SGKCL,2,0,2,1,2,3,2,2,1,2,3,4,1559.25,0
3712-PKXZA,1,0,1,3,1,1,0,0,2,2,3,1,1252,0
6317-YPKDH,2,0,0,1,0,2,1,0,1,1,3,1,29.95,1
6582-OIVSP,2,0,0,1,1,2,0,0,1,1,1,2,45.3,0
9367-WXLCH,1,0,0,1,2,3,0,1,1,1,3,3,662.65,1
5524-KHNJP,1,0,2,2,1,2,2,2,2,1,3,3,2453.3,0
1918-ZBFQJ,2,0,0,1,1,3,2,0,1,2,2,3,1111.65,1
1024-GUALD,2,0,1,1,0,2,0,0,1,2,2,1,24.8,1
4827-USJHP,1,0,0,1,1,2,1,0,1,2,1,2,1023.85,0
8167-GJLRN,1,0,0,1,0,2,1,0,1,1,2,2,82.15,0
0956-SYCWG,2,0,0,1,1,1,0,0,2,1,2,1,244.8,0
8017-UVSZU,2,0,1,2,2,2,1,0,1,1,3,2,2379.1,0
7100-FQPRV,1,0,2,2,2,2,2,1,2,2,3,3,3173.35,0
2472-OVKUP,1,0,1,1,1,3,2,1,1,2,2,4,531,1
2984-RGEYA,2,0,2,3,1,1,0,0,3,1,3,1,1375.4,0
9680-NIAUV,2,0,2,3,2,3,3,2,3,1,3,4,8129.3,0
2146-EGVDT,1,0,2,3,1,1,0,0,3,1,3,1,1192.7,0
2604-IJPDU,2,0,1,1,1,3,3,1,1,2,2,4,1901.65,0
9178-JHUVJ,1,0,2,2,2,1,0,0,3,2,3,1,587.4,0
6168-YBYNP,1,0,0,3,2,3,3,2,1,2,2,4,6519.75,0
7255-SSFBC,1,0,2,3,2,3,3,2,3,2,3,4,8041.65,0
3645-DEYGF,1,0,1,1,1,1,0,0,1,1,1,1,20.75,0
9323-HGFWY,2,0,1,2,1,3,2,2,2,2,3,4,2681.15,0
8544-GOQSH,2,0,0,1,1,3,2,0,1,2,3,3,1112.3,0
3363-DTIVD,1,0,2,3,2,3,2,2,3,1,2,4,7405.5,0
7018-WBJNK,1,0,1,1,1,3,0,1,1,2,3,3,1033.95,0
9142-KZXOP,1,0,0,2,1,3,0,0,1,1,3,3,2958.95,0
7674-YTAFD,2,0,0,2,1,3,2,0,2,2,3,3,2684.85,0
6348-SNFUS,1,0,2,3,0,2,4,1,3,2,3,2,4179.2,0
1285-OKIPP,1,0,0,1,1,3,0,1,1,1,2,3,79.9,1
7825-ECJRF,2,0,0,1,1,3,3,2,1,2,2,4,1934.45,1
1347-KTTTA,1,0,1,3,1,3,3,2,2,2,3,4,6654.1,0
7841-TZDMQ,1,0,0,1,1,2,0,0,1,2,3,2,84.5,1
4195-NZGTA,2,0,0,1,0,2,0,0,1,1,2,1,25.25,0
7157-SMCFK,1,0,1,3,1,1,0,0,3,1,1,1,1124.2,0
4709-LKHYG,2,0,2,2,1,1,0,0,2,1,2,1,540.05,0
2504-DSHIH,1,1,1,1,2,3,0,1,1,1,2,3,1975.85,0
0699-NDKJM,2,0,1,3,0,2,3,2,1,2,3,2,3437.45,0
9286-BHDQG,1,0,2,3,0,2,4,0,3,1,3,2,3139.8,0
0230-WEQUW,1,0,1,3,0,2,4,1,3,2,3,2,3789.2,0
2040-LDIWQ,1,0,2,3,2,2,3,2,3,2,3,3,5324.5,0
6496-JDSSB,2,0,0,1,1,3,0,1,1,2,3,3,624.6,0
9408-SSNVZ,2,0,0,1,1,3,0,0,1,2,2,3,268.35,1
4443-EMBNA,2,0,1,3,2,1,0,0,3,1,3,1,1836.9,0
6469-MRVET,1,0,2,1,1,1,0,0,2,2,2,1,20.2,0
0742-MOABM,1,0,1,1,1,2,1,0,1,1,1,2,179.35,1
5961-VUSRV,2,0,0,1,1,1,0,0,2,2,3,1,219.35,0
6778-JFCMK,1,0,0,2,0,2,1,2,2,2,1,2,1288.75,0
6341-JVQGF,2,0,2,2,1,2,3,2,2,2,1,3,2545.75,0
2232-DMLXU,2,0,1,1,1,2,0,1,1,1,1,2,55.2,1
4811-JBUVU,1,0,0,2,2,3,1,1,1,2,3,3,2723.15,0
0945-TSONX,2,0,2,2,2,2,3,2,3,2,3,3,4107.25,0
2651-ZCBXV,1,0,0,3,2,3,3,2,3,2,3,4,5760.65,0
3316-UWXUY,1,0,0,3,1,3,3,1,1,2,3,4,4747.5,0
8937-RDTHP,1,0,0,1,1,3,1,1,1,2,1,3,84.6,1
7083-MIOPC,2,0,0,3,1,1,0,0,3,1,3,1,1566.9,0
1984-GPTEH,2,0,0,2,2,1,0,0,1,1,2,1,702,0
1251-KRREG,1,0,0,1,2,2,1,0,1,2,1,2,114.1,1
0621-JFHOL,2,0,0,1,0,2,1,0,3,2,1,1,299.05,0
9903-LYSAB,1,0,1,1,2,3,0,0,1,2,2,3,1305.95,0
0094-OIFMO,2,1,0,1,1,3,1,2,1,2,2,4,1120.3,1
9227-UAQFT,1,0,0,1,1,1,0,0,3,1,1,1,284.35,0
7301-ABVAD,2,0,0,3,2,2,3,2,3,1,3,3,6350.5,0
6614-FHDBO,1,0,0,3,2,3,3,2,3,1,3,4,7878.3,0
7576-ASEJU,2,0,2,2,1,2,2,2,2,2,3,3,3187.65,0
9058-HRZSV,2,1,1,3,1,3,3,1,1,1,2,4,6126.15,0
4522-AKYLR,2,1,0,1,1,2,2,0,1,2,2,2,731.3,0
0221-WMXNQ,1,1,0,1,1,3,1,0,1,1,2,3,273.4,0
0303-UNCIP,1,0,0,2,2,2,1,1,2,1,1,3,2531.8,0
9947-OTFQU,1,1,0,1,1,3,1,0,1,2,2,3,1074.3,1
0322-YINQP,1,0,0,1,1,2,1,0,1,2,1,2,48.55,1
0959-WHOKV,1,0,0,2,2,3,3,1,2,2,2,4,4298.45,0
4075-JFPGR,2,0,1,3,1,3,3,1,2,2,2,4,4619.55,0
4629-NRXKX,2,0,2,1,1,3,0,0,1,1,2,3,147.15,1
9514-JDSKI,1,1,1,1,0,2,1,1,1,1,2,2,40.2,1
3282-ZISZV,1,0,1,2,2,2,3,2,2,1,3,3,2633.3,0
3675-YDUPJ,1,0,0,1,1,1,0,0,1,2,1,1,193.05,0
4111-BNXIF,2,0,2,3,0,2,3,2,3,2,2,2,4103.9,0
7017-VFHAY,2,0,2,3,2,3,4,2,3,1,3,4,7008.15,0
6655-LHBYW,1,0,0,3,2,3,4,2,2,1,3,4,5791.1,0
4959-JOSRX,2,0,1,1,1,2,0,0,1,2,3,2,80.55,1
5046-NUHWD,2,1,1,2,0,2,2,1,1,2,2,2,1228.65,0
7273-TEFQD,1,1,0,1,0,2,1,1,1,2,2,2,132.2,1
3606-TWKGI,1,1,0,1,2,3,2,2,1,2,2,4,1364.3,1
7529-ZDFXI,1,1,1,3,2,3,1,1,1,2,2,3,4925.35,0
7605-BDWDC,2,0,0,2,0,2,3,1,3,2,3,2,1520.1,0
1950-KSVVJ,2,0,1,2,2,3,4,2,2,1,1,4,5032.25,0
0123-CRBRT,2,0,2,3,2,2,4,2,3,1,1,3,5526.75,0
6292-TOSSS,1,0,0,3,2,1,0,0,3,1,3,1,1195.25,0
3197-ARFOY,2,1,0,1,1,3,3,2,1,2,1,4,2007.25,0
6323-AYBRX,1,0,0,3,1,1,0,0,3,1,1,1,1099.6,1
7014-ZZXAW,2,0,1,3,2,1,0,0,3,2,3,1,1732.95,0
4385-GZQXV,2,1,0,1,1,3,1,2,1,2,2,4,1511.2,1
7633-MVPUY,1,0,1,3,1,2,3,0,3,2,2,2,3450.15,0
6366-ZGQGL,1,0,0,1,0,2,0,0,1,1,3,1,24.8,1
4716-HHKQH,1,1,1,1,2,3,2,2,1,1,2,4,2172.05,0
5940-AHUHD,1,0,0,1,1,3,0,0,1,1,1,3,70.6,1
6432-TWQLB,1,0,1,1,2,3,2,0,1,2,2,3,401.1,1
4484-GLZOU,2,0,1,3,2,3,2,2,1,2,2,4,5624.85,1
3179-GBRWV,1,1,1,1,1,2,2,1,1,2,3,3,1339.8,0
8645-KWHJO,1,0,0,1,0,2,2,2,1,2,2,2,771.95,0
4130-MZLCC,2,0,0,1,1,2,1,0,1,1,3,2,244.75,0
0314-TKOSI,2,0,0,1,1,2,2,0,1,1,1,2,322.9,0
8229-MYEJZ,2,0,0,1,1,2,1,0,1,1,2,2,498.25,0
2080-SRCDE,2,0,1,1,2,1,0,0,1,1,1,1,25.4,0
9577-WJVCQ,2,0,0,3,2,2,1,0,1,1,1,2,3687.75,0
9512-UIBFX,1,0,2,1,1,3,1,2,1,1,1,4,1779.95,1
6202-DYYFX,2,0,0,1,2,3,0,0,2,2,3,3,1783.6,0
3808-HFKDE,2,0,0,1,1,2,0,0,1,2,2,2,927.15,0
5583-SXDAG,1,0,1,1,1,3,0,0,1,1,2,3,70,1
3488-PGMQJ,1,1,0,1,1,3,1,0,1,2,2,3,606.55,1
3580-REOAC,1,0,0,1,1,2,0,0,1,2,3,2,435.4,1
7534-BFESC,1,1,0,2,2,3,0,0,1,2,2,3,1712.7,1
3727-OWVYD,1,0,0,2,1,2,3,0,2,1,1,3,2021.2,0
2294-SALNE,1,0,2,1,1,3,3,0,2,1,1,3,1940.8,0
4847-TAJYI,2,1,0,1,1,3,0,2,1,2,2,3,567.8,0
1563-IWQEX,2,0,0,1,1,1,0,0,1,1,1,1,220.35,0
8203-XJZRC,1,0,0,1,1,1,0,0,1,1,1,1,20.25,0
6556-DBKZF,2,0,2,3,1,3,1,0,3,1,2,3,5436.45,0
6851-WEFYX,1,1,1,2,2,3,1,2,1,2,2,4,3437.5,0
2985-JUUBZ,1,0,2,2,2,2,1,2,1,2,2,3,3015.75,0
6390-DSAZX,2,0,1,1,1,3,1,0,1,2,1,3,73.6,1
0895-LMRSF,1,0,0,1,1,2,0,2,2,2,3,3,1509.8,0
8098-LLAZX,2,1,0,1,2,3,0,2,1,2,2,4,396.1,1
8266-VBFQL,1,0,0,1,1,3,2,1,1,2,2,4,356.65,0
8181-YHCMF,2,0,2,3,0,2,3,2,3,1,3,3,4109,0
2240-HSJQD,1,0,1,2,2,3,1,0,1,2,1,3,3141.7,0
1248-DYXUB,1,0,2,3,2,1,0,0,3,1,1,1,1229.1,0
0265-EDXBD,1,1,1,2,2,3,0,0,1,2,2,3,2303.35,1
4115-BNPJY,1,0,2,2,1,2,2,2,3,1,1,3,2054.4,0
3167-SNQPL,1,1,2,2,2,3,1,2,1,1,2,4,3741.85,0
4091-TVOCN,1,0,1,3,2,2,2,2,2,2,3,3,3682.45,0
1098-TDVUQ,2,0,0,1,1,1,0,0,1,2,3,1,19.25,0
7277-OZCGZ,2,0,0,1,1,3,2,1,1,2,2,3,1886.25,0
1557-EMYVT,2,0,0,2,2,3,4,2,3,1,3,4,4895.1,0
2799-ARNLO,2,1,1,1,1,3,0,0,1,2,2,3,341.6,0
7563-BIUPC,1,0,0,1,1,3,0,1,1,2,2,3,415.55,1
5027-YOCXN,1,0,2,3,2,3,3,2,2,1,3,4,5686.4,0
3973-SKMLN,1,0,0,3,1,1,0,0,3,2,3,1,1355.1,0
2321-OMBXY,2,0,2,2,1,2,3,2,2,1,3,3,3058.65,1
2840-XANRC,1,1,1,2,1,3,1,2,1,2,2,4,2231.05,1
6745-JEFZB,1,0,1,2,2,3,1,1,1,2,3,4,3236.35,0
5020-ZSTTY,2,1,0,3,2,2,3,2,2,1,3,3,4350.1,1
9880-TDQAC,2,0,2,3,0,2,3,2,3,2,2,3,4264,0
8705-WZCYL,1,0,0,1,1,2,0,0,1,2,2,2,44.8,0
7102-JJVTX,2,0,2,1,1,2,1,0,2,1,1,2,422.3,0
8626-PTQGE,1,0,0,3,0,2,3,2,3,2,3,3,4176.7,0
4983-CLMLV,2,0,1,3,2,3,2,2,1,2,3,4,5138.1,0
5701-YVSVF,2,1,1,1,1,3,1,1,1,2,2,3,880.05,0
5804-LEPIM,2,1,0,1,1,3,0,0,1,2,2,3,139.05,1
5697-GOMBF,2,1,2,2,0,2,0,1,1,2,2,2,973.65,0
2739-CACDQ,2,1,0,1,2,3,1,0,1,2,3,3,1470.05,0
9385-EHGDO,2,0,2,2,1,1,0,0,3,2,1,1,739.35,0
9498-FIMXL,2,0,0,1,1,1,0,0,2,2,1,1,161.95,0
2379-GYFLQ,1,0,0,2,2,3,2,1,2,2,3,4,4422.95,0
0122-OAHPZ,2,0,0,1,2,3,0,0,1,2,2,3,511.25,1
2868-SNELZ,2,0,0,1,2,3,1,0,1,1,1,3,155.8,1
4322-RCYMT,1,0,2,3,2,2,3,1,2,2,3,3,5293.95,1
6680-NENYN,2,0,0,2,2,3,2,2,3,2,2,4,4759.85,1
2088-IEBAU,2,0,0,3,2,2,4,2,3,2,2,3,6148.45,0
7982-VCELR,2,0,0,2,1,3,1,2,1,2,3,4,3565.65,0
1343-EHPYB,1,0,1,3,2,3,2,2,1,2,2,4,6603,1
6035-BXTTY,2,1,0,2,1,2,2,0,1,1,3,2,1830.1,0
6885-PKOAM,2,0,1,3,2,2,4,2,3,1,3,3,6223.8,0
7520-HQWJU,2,0,2,3,2,2,3,0,1,2,3,3,4508.65,0
9639-BUJXT,1,0,0,3,1,1,0,0,2,1,1,1,1328.15,0
5924-SNGKP,2,0,1,2,1,1,0,0,2,2,3,1,865,0
0021-IKXGC,2,1,0,1,2,3,0,0,1,2,2,3,72.1,0
2034-GDRCN,2,0,0,1,1,3,0,2,1,2,2,4,168.2,1
8966-SNIZF,2,0,1,3,1,1,0,0,3,1,3,1,1303.5,0
6243-OZGFH,2,0,0,1,0,2,0,2,1,2,2,2,996.85,0
4654-DLAMQ,2,1,1,3,1,3,3,1,2,1,3,4,6430.9,0
